2025-03-01 00:16:36,512 INFO    MainThread:590184 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2025-03-01 00:16:36,513 INFO    MainThread:590184 [wandb_setup.py:_flush():79] Configure stats pid to 590184
2025-03-01 00:16:36,513 INFO    MainThread:590184 [wandb_setup.py:_flush():79] Loading settings from /data/pulkitag/models/jyop/.config/wandb/settings
2025-03-01 00:16:36,513 INFO    MainThread:590184 [wandb_setup.py:_flush():79] Loading settings from /data/pulkitag/models/jyop/code/nanoGPT/wandb/settings
2025-03-01 00:16:36,513 INFO    MainThread:590184 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-03-01 00:16:36,513 INFO    MainThread:590184 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2025-03-01 00:16:36,513 INFO    MainThread:590184 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/data/pulkitag/models/jyop/code/nanoGPT/train.py', 'program': '/data/pulkitag/models/jyop/code/nanoGPT/train.py'}
2025-03-01 00:16:36,513 INFO    MainThread:590184 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-03-01 00:16:36,513 INFO    MainThread:590184 [wandb_init.py:_log_setup():533] Logging user logs to /data/pulkitag/models/jyop/code/nanoGPT/wandb/run-20250301_001635-x11btkrt/logs/debug.log
2025-03-01 00:16:36,513 INFO    MainThread:590184 [wandb_init.py:_log_setup():534] Logging internal logs to /data/pulkitag/models/jyop/code/nanoGPT/wandb/run-20250301_001635-x11btkrt/logs/debug-internal.log
2025-03-01 00:16:36,513 INFO    MainThread:590184 [wandb_init.py:init():619] calling init triggers
2025-03-01 00:16:36,513 INFO    MainThread:590184 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'out_dir': 'out-tinystories', 'eval_interval': 5, 'log_interval': 1, 'eval_iters': 40, 'eval_only': False, 'always_save_checkpoint': False, 'init_from': 'gpt2', 'wandb_log': True, 'wandb_project': 'ngpt-tinystories', 'wandb_run_name': 'ft-moe-1740806186.930233', 'dataset': 'tinystories', 'gradient_accumulation_steps': 32, 'batch_size': 1, 'block_size': 1024, 'n_layer': 12, 'n_head': 12, 'n_embd': 768, 'dropout': 0.0, 'bias': False, 'is_moe': True, 'add_lora': False, 'learning_rate': 0.06, 'max_iters': 100, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'decay_lr': False, 'warmup_iters': 2000, 'lr_decay_iters': 600000, 'min_lr': 6e-05, 'backend': 'nccl', 'device': 'cuda', 'dtype': 'bfloat16', 'compile': True}
2025-03-01 00:16:36,513 INFO    MainThread:590184 [wandb_init.py:init():669] starting backend
2025-03-01 00:16:36,513 INFO    MainThread:590184 [wandb_init.py:init():673] sending inform_init request
2025-03-01 00:16:36,518 INFO    MainThread:590184 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-01 00:16:36,518 INFO    MainThread:590184 [wandb_init.py:init():686] backend started and connected
2025-03-01 00:16:36,520 INFO    MainThread:590184 [wandb_init.py:init():781] updated telemetry
2025-03-01 00:16:37,868 INFO    MainThread:590184 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2025-03-01 00:16:38,321 INFO    MainThread:590184 [wandb_init.py:init():867] starting run threads in backend
2025-03-01 00:16:38,670 INFO    MainThread:590184 [wandb_run.py:_console_start():2456] atexit reg
2025-03-01 00:16:38,670 INFO    MainThread:590184 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2025-03-01 00:16:38,670 INFO    MainThread:590184 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-03-01 00:16:38,670 INFO    MainThread:590184 [wandb_run.py:_redirect():2395] Redirects installed.
2025-03-01 00:16:38,673 INFO    MainThread:590184 [wandb_init.py:init():911] run started, returning control to user process
2025-03-01 00:18:01,365 WARNING MsgRouterThr:590184 [router.py:message_loop():75] message_loop has been closed
